path,sha256,copyright,license_status,reuse_status,notes
src/ExplodingBubble.h,0698422d91a74492d081862313c298e1898b879704f6f98cbaf5b13b19e993b7,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTime.cpp,f88661a79e12b5d766a208a74e3fa90c91e05299e07fc0cf35edd2a539c29a77,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTime.h,cb4dad3a2ee685eabceac7730f106301fcb0416f68986186f87ee2d0f60da505,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTimeScreen.cpp,f289658b91b2223637bd01ed586716f6af56cd9be0f0b424204c643d3f2e225e,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTimeScreen.h,49c33ff3fc0734f4bace8b7e409388997bd73e2c0b7f3cc38b7d4d411eb6bff7,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTimeText.cpp,ba0dcd6bc705e6f971839800482467036f5599335b19949bad33a8b6a9e3fdaf,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FastestTimeText.h,2aa078d952c1e95f1c4c792fea52968f6ac380e257dda75ddc8421da63ea7135,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FileLoadSaveBox.cpp,328a83804186cd5db049053c4d4a91e07bbc35874750d0873d3d8ad9363797b9,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/FileLoadSaveBox.h,145754790291f86e8012e2323730551d787336be9cddee4849858a3c9f249d0d,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Font.cpp,d2b27d76ca124b032197fbe32c0a861a74f4c42840f30af61f57ebe214e6bad4,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Font.h,da1ae24d30ee4407a7fb11beb97d0ef2da4016cbeb5da7574d0a6ce45f7ad06e,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Game.cpp,641667d921dc4972e0734ade62df67ea5a6551ccff300a2725d90de82b801d22,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Game.h,b5b72b90bc54dd5b4f19bb8399f2051e2c6e7113728062bc12fd43b7e8064073,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/GameEnd.cpp,c16420bfa5e4e03c8c7cfb6e1216e180e77344cba372ed5cb04f63af0dab923b,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/GameEnd.h,7988d8804c926abca644ffea909640c645253e67d3416b360d89972231347804,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/GameSelect.cpp,77ebb7ca0f4565fcb814b7039e14f4f18aa2796bb2768c8adaeee7a011ceea04,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/GameSelect.h,4bf7dbc703112b61077bbe40057e447a4710b664a5cb0c3cbe9051f7ffc0f9cb,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/General.cpp,879438decb08a75f36b816c89503d3328fb244f979e46cb871fdc95e810f599f,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/General.h,95bcdf7cea45fe1394a1ba4e0bcf4bc9265529c0990c7f914d6c5191e7f84c11,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/ILoadSave.h,7ffb2903f70584646bfc3bad816807c81978789336f834f8b26ffdcd95bc98dd,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/IWidget.h,75d341a37a2216e07ecb88103214c025f92e8c61a931e6767c7194b9af783811,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Label.cpp,dbd8192b0286cd5f49bbf9870ac1f616d2a1ff2fd91d55c68ae12f891f2ba16a,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Label.h,2576dfb00da103d06dbd70c759af84ba3222e16f51e51e0ad0b98e7099587e1b,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Level.cpp,d9a3c89935b8cad943637450f76acd4b962c83d0386a7c163600b897678cf774,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Level.h,6ceb33296e748b633192a7dfaeda4872591e438b93986b47b08ddd407d826e5e,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/LevelEditor.cpp,db8fc3d1357b699451e27f8c299ebcb34824264a956bb9e8b40dac2409afb5ff,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/LevelEditor.h,1cd7a70fcec9dd916a46e26e5604aa3c22a44de65b73a0ed1568ce6bd89ac4d2,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/LevelTimer.cpp,66589a24d611e56dd3d3b63d40ddc4fffe57a9be316d22203441df4eecfb9ef0,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/LevelTimer.h,0302735ce0d2c6750655c4e5315a808ce5c9a637fa137c49b7eb79d4988b82f3,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/List.h,5bb0e4c2f9749971ef6e80e1a6e7aba6b314bd825a53ab42a50d48bb68e0665e,Ron Penton (attributed in file),UNRESOLVED,QUARANTINE CODE / REIMPLEMENT,Header says Data Structures For Game Programmers / Ron Penton / DLinkedList.h; no license grant in file
src/ListBox.cpp,a0567be1c07b3d45c0f85c2323b7b429aa9090f7e858e50f9e59738a5b7cfd85,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/ListBox.h,256bc78afaaf6dae485033364090c01b1017da3b9882977f2c9c59eb08c5545e,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
src/Log.cpp,18983b8906b9e8785654c8917f097799d8ea6f9d2037725e5f2255a6e4c6fe5c,Adam Child; Craig Marshall (2004),GPL-2.0-or-later,REUSABLE under GPL-3.0-or-later derivative,Explicit source header
