frame,point,bodyA,bodyB,nx,ny,px,py,normalImpulseScaled,tangentImpulseScaled
0,0,flipper,ball,0.678826690,0.734298527,0.302603602,0.108922109,0.040741123,-0.011499463
0,0,flipper,ball,0.696660757,0.717400789,0.303269953,0.110137843,0.000000000,-0.000000000
1,0,flipper,ball,0.693621099,0.720340073,0.304138422,0.109384611,0.005699066,-0.001633524
2,0,flipper,ball,0.693667829,0.720295072,0.305043638,0.108518243,0.006662941,-0.001883891
3,0,flipper,ball,0.534766853,0.844999671,0.329936475,0.127657145,1.148806810,-0.046613261
