frame,t,x,y,vx,vy,angle,omega
60,1.016666770,0.226039097,0.156070039,0.000000000,0.000000000,1.103648782,0.000000000
61,1.033333421,0.227130741,0.155743331,0.267793953,-0.135070607,0.988394856,-7.457700253
62,1.050000072,0.225999996,0.156000003,0.378333151,-0.249172539,0.789211750,-11.264159203
63,1.066666722,0.225999996,0.156000003,0.375601321,-0.372747451,0.571703315,-13.157641411
64,1.083333373,0.225999996,0.156000003,0.307125658,-0.477367014,0.338671327,-14.114070892
65,1.100000024,0.225999996,0.156000003,0.194967240,-0.553502738,0.097910419,-14.591609001
66,1.116666675,0.225999996,0.156000003,0.058296639,-0.593504071,-0.146677166,-14.828408241
67,1.133333445,0.225999996,0.156000018,-0.087799303,-0.594289899,-0.393023610,-14.937321663
68,1.150000095,0.225999996,0.156000003,-0.230598971,-0.556204557,-0.639920413,-14.971434593
69,1.166666746,0.225999996,0.156000003,-0.359182686,-0.482499927,-0.886577129,-14.956541061
70,1.183333397,0.226077646,0.155934304,-0.000000000,-0.000000000,-0.749537766,-0.000000000
71,1.200000048,0.226005346,0.155995637,0.000000000,0.000000000,-0.696938515,0.000000000
72,1.216666698,0.226000354,0.155999720,-0.000000000,0.000000000,-0.683235407,0.000000000
73,1.233333349,0.226000026,0.155999988,0.000000000,-0.000000000,-0.679665446,0.000000000
74,1.250000119,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678735375,0.000000000
75,1.266666770,0.225999996,0.155999988,0.000000000,0.000000000,-0.678492963,0.000000000
76,1.283333421,0.225999996,0.156000003,0.000000000,0.000000000,-0.678430021,-0.000000000
77,1.300000072,0.225999996,0.156000018,0.000000000,0.000000000,-0.678413332,-0.000000000
78,1.316666722,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678409040,0.000000000
79,1.333333373,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678407967,0.000000000
80,1.350000024,0.225999996,0.156000003,-0.000000000,-0.000000000,-0.678407848,0.000000000
81,1.366666794,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
82,1.383333445,0.225999996,0.156000003,0.000000000,0.000000000,-0.678407848,-0.000000000
83,1.400000095,0.225999996,0.156000003,0.000000000,-0.000000000,-0.678407848,0.000000000
84,1.416666746,0.225999996,0.156000003,0.612856865,0.760338604,-0.284793288,24.282512665
