case,x,y,vx,vy,nativeX,nativeY,nativeVX,nativeVY
above-tip,0.685000,1.200000,4.000000,0.000000,0.703577578,1.185569763,-1.672658682,-1.672643900
above-tip,0.685000,1.200000,6.000000,0.000000,0.689608991,1.171738148,-2.512521505,-2.504041195
above-tip,0.685000,1.200000,10.000000,0.000000,0.661573172,1.143984556,-4.191306114,-4.169688702
ceiling,0.380000,1.350000,0.000000,1.000000,0.379999995,1.366334558,0.000000000,0.980074406
ceiling,0.380000,1.350000,0.000000,2.000000,0.379999995,1.372654796,0.000000000,-1.108841658
ceiling,0.380000,1.350000,0.000000,4.000000,0.379999965,1.353988171,0.000000000,-2.228841305
ceiling,0.380000,1.350000,0.000000,6.000000,0.380000025,1.335321665,0.000000000,-3.348841190
ceiling,0.380000,1.350000,0.000000,10.000000,0.380000025,1.297988176,0.000000000,-5.588841915
ceiling,0.380000,1.360000,0.000000,1.000000,0.379999995,1.376334548,0.000000000,0.980074406
ceiling,0.380000,1.360000,0.000000,2.000000,0.379999995,1.367054820,0.000000000,-1.108841658
ceiling,0.380000,1.360000,0.000000,4.000000,0.380000025,1.348388195,0.000000000,-2.228841305
ceiling,0.380000,1.360000,0.000000,6.000000,0.380000025,1.329721689,0.000000000,-3.348841190
ceiling,0.380000,1.360000,0.000000,10.000000,0.379999995,1.292388201,0.000000000,-5.588841915
ceiling,0.380000,1.370000,0.000000,1.000000,0.379999995,1.370788336,0.000000000,-0.548841655
ceiling,0.380000,1.370000,0.000000,2.000000,0.380000025,1.361454964,0.000000000,-1.108841658
ceiling,0.380000,1.370000,0.000000,4.000000,0.379999995,1.342788100,0.000000000,-2.228841305
ceiling,0.380000,1.370000,0.000000,6.000000,0.379999995,1.324121594,0.000000000,-3.348841190
ceiling,0.380000,1.370000,0.000000,10.000000,0.379999995,1.286788225,0.000000000,-5.588841915
right-wall,0.733600,0.800000,1.000000,0.000000,0.736456037,0.799828947,0.313599974,-0.004144493
right-wall,0.733600,0.800000,2.000000,0.000000,0.733393312,0.799901128,-0.351231962,-0.001310015
right-wall,0.733600,0.800000,4.000000,0.000000,0.737027586,0.799946547,0.393379778,-0.000411979
right-wall,0.733600,0.800000,6.000000,0.000000,0.734156132,0.799963713,-0.330439091,-0.000130882
right-wall,0.733600,0.800000,10.000000,0.000000,0.735388339,0.799977779,0.308409780,-0.000041161
right-wall,0.735000,0.800000,1.000000,0.000000,0.736895084,0.799851060,0.313599974,-0.004144466
right-wall,0.735000,0.800000,2.000000,0.000000,0.733162224,0.799913824,-0.351231962,-0.001305913
right-wall,0.735000,0.800000,4.000000,0.000000,0.735914886,0.799953580,-0.220292658,-0.000130883
right-wall,0.735000,0.800000,6.000000,0.000000,0.734105289,0.799968362,-0.330439091,-0.000130221
right-wall,0.735000,0.800000,10.000000,0.000000,0.735421419,0.799980521,0.308409780,-0.000041161
right-wall,0.736000,0.800000,1.000000,0.000000,0.735718310,0.799887538,-0.175615981,-0.001311373
right-wall,0.736000,0.800000,2.000000,0.000000,0.734101176,0.799933374,0.196689889,-0.000414502
right-wall,0.736000,0.800000,4.000000,0.000000,0.735817850,0.799963593,-0.220292658,-0.000130359
right-wall,0.736000,0.800000,6.000000,0.000000,0.733967423,0.799975038,-0.330439091,-0.000131017
right-wall,0.736000,0.800000,10.000000,0.000000,0.735483825,0.799984515,0.308409780,-0.000041204
