bumperId,initialVX,frame,x,y,vx,vy,hits
1,-1,1,0.233333319,1.192967892,-1.000000000,2.980074406,0
1,-1,2,0.214526385,1.254242182,-1.128415704,3.676460743,1
1,-1,3,0.195719451,1.315184474,-1.128415704,3.656534910,1
1,-1,4,0.192626417,1.338846207,1.185681224,-1.815860152,1
1,-1,5,0.212387770,1.308249712,1.185681224,-1.835785866,1
1,-1,6,0.232149124,1.277321219,1.185681224,-1.855711579,1
1,-1,7,0.251910478,1.246060610,1.185681224,-1.875637293,1
1,-1,8,0.271671832,1.214467883,1.185681224,-1.895562887,1
1,-1,9,0.291433156,1.182543039,1.185681224,-1.915488601,1
1,-1,10,0.311194509,1.150286198,1.185681224,-1.935414314,1
1,-1,11,0.330955863,1.117697239,1.185681224,-1.955340028,1
1,-1,12,0.348005027,1.097085357,0.450613201,1.200175166,1
1,-1,13,0.355001837,1.128874183,0.419807494,1.907328963,2
1,-1,14,0.361998618,1.160331011,0.419807494,1.887403250,2
1,-1,15,0.368995428,1.191455603,0.419807494,1.867477655,2
1,-1,16,0.375992239,1.222248077,0.419807494,1.847551942,2
1,-1,17,0.382989019,1.252708554,0.419807494,1.827626228,2
1,-1,18,0.389985830,1.282836914,0.419807494,1.807700515,2
1,-1,19,0.396982610,1.312633157,0.419807494,1.787774801,2
1,-1,20,0.403979391,1.342097282,0.419807494,1.767849207,2
1,-1,21,0.410976171,1.371229410,0.419807494,1.747923493,2
1,-1,22,0.413549185,1.363118887,0.087874100,-0.967678666,2
1,-1,23,0.415013731,1.346658945,0.087874100,-0.987604260,2
1,-1,24,0.416478306,1.329866648,0.087874100,-1.007529855,2
1,-1,25,0.417942852,1.312742472,0.087874100,-1.027455449,2
1,-1,26,0.419407427,1.295286059,0.087874100,-1.047381043,2
1,-1,27,0.420871973,1.277497649,0.087874100,-1.067306638,2
1,-1,28,0.422336519,1.259377122,0.087874100,-1.087232232,2
1,-1,29,0.423801094,1.240924478,0.087874100,-1.107157826,2
1,-1,30,0.425265640,1.222139716,0.087874100,-1.127083421,2
1,-1,31,0.426730216,1.203022957,0.087874100,-1.147009015,2
1,-1,32,0.428194761,1.183573961,0.087874100,-1.166934609,2
1,-1,33,0.429659307,1.163792968,0.087874100,-1.186860204,2
1,-1,34,0.431123883,1.143679857,0.087874100,-1.206785798,2
1,-1,35,0.424291760,1.143661737,-0.578751385,0.428301513,2
1,-1,36,0.408491910,1.160919785,-0.947991073,1.035476804,3
1,-1,37,0.392692029,1.177845597,-0.947991073,1.015551209,3
1,-1,38,0.376892179,1.194439292,-0.947991073,0.995625615,3
1,-1,39,0.361092329,1.210700989,-0.947991073,0.975700021,3
1,-1,40,0.345292479,1.226630569,-0.947991073,0.955774426,3
1,-1,41,0.329492629,1.242228031,-0.947991073,0.935848832,3
1,-1,42,0.313692749,1.257493377,-0.947991073,0.915923238,3
1,-1,43,0.297892898,1.272426724,-0.947991073,0.895997643,3
1,-1,44,0.282093048,1.287027955,-0.947991073,0.876072049,3
1,-1,45,0.266293198,1.301296949,-0.947991073,0.856146455,3
1,0,1,0.250000000,1.192967892,0.000000000,2.980074406,0
1,0,2,0.250000000,1.254432559,0.000000000,3.687880278,1
1,0,3,0.250000000,1.315565228,0.000000000,3.667954683,1
1,0,4,0.250889570,1.369454265,0.687888265,-1.980484724,1
1,0,5,0.262354374,1.336114168,0.687888265,-2.000410557,1
1,0,6,0.273819178,1.302441835,0.687888265,-2.020336151,1
1,0,7,0.285283983,1.268437505,0.687888265,-2.040261745,1
1,0,8,0.296748817,1.234101057,0.687888265,-2.060187578,1
1,0,9,0.308213621,1.199432492,0.687888265,-2.080113173,1
1,0,10,0.319678426,1.164431810,0.687888265,-2.100039005,1
1,0,11,0.331143230,1.129099131,0.687888265,-2.119964600,1
1,0,12,0.342608035,1.093434215,0.687888265,-2.139890194,1
1,0,13,0.341133326,1.112097144,-0.124122366,1.252081513,1
1,0,14,0.337350190,1.144640207,-0.226989657,1.952580690,2
1,0,15,0.333567023,1.176851034,-0.226989657,1.932654977,2
1,0,16,0.329783857,1.208729982,-0.226989657,1.912729263,2
1,0,17,0.326000720,1.240276575,-0.226989657,1.892803550,2
1,0,18,0.322217554,1.271491289,-0.226989657,1.872877836,2
1,0,19,0.318434417,1.302373767,-0.226989657,1.852952242,2
1,0,20,0.314651251,1.332924247,-0.226989657,1.833026528,2
1,0,21,0.310868084,1.363142610,-0.226989657,1.813100815,2
1,0,22,0.308751613,1.366496325,-0.040539455,-1.063636184,2
1,0,23,0.308075964,1.348436952,-0.040539455,-1.083561778,2
1,0,24,0.307400286,1.330045462,-0.040539455,-1.103487372,2
1,0,25,0.306724638,1.311321974,-0.040539455,-1.123412967,2
1,0,26,0.306048989,1.292266250,-0.040539455,-1.143338561,2
1,0,27,0.305373341,1.272878528,-0.040539455,-1.163264155,2
1,0,28,0.304697692,1.253158808,-0.040539455,-1.183189750,2
1,0,29,0.304022014,1.233106852,-0.040539455,-1.203115344,2
1,0,30,0.303346366,1.212722778,-0.040539455,-1.223040938,2
1,0,31,0.302670717,1.192006707,-0.040539455,-1.242966533,2
1,0,32,0.301995069,1.170958519,-0.040539455,-1.262892127,2
1,0,33,0.301319420,1.149578214,-0.040539455,-1.282817721,2
1,0,34,0.300643742,1.127865791,-0.040539455,-1.302743316,2
1,0,35,0.299968094,1.105821371,-0.040539455,-1.322668910,2
1,0,36,0.299292445,1.083444834,-0.040539455,-1.342594504,2
1,0,37,0.298616797,1.060736060,-0.040539455,-1.362520099,2
1,0,38,0.297941148,1.037695289,-0.040539455,-1.382445693,2
1,0,39,0.297265470,1.014322519,-0.040539455,-1.402371287,2
1,0,40,0.296589822,0.990617573,-0.040539455,-1.422296882,2
1,0,41,0.295914173,0.966580510,-0.040539455,-1.442222476,2
1,0,42,0.295238525,0.942211330,-0.040539455,-1.462148070,2
1,0,43,0.294562876,0.917510152,-0.040539455,-1.482073665,2
1,0,44,0.293887198,0.892476857,-0.040539455,-1.501999259,2
1,0,45,0.293211550,0.867111385,-0.040539455,-1.521924853,2
1,1,1,0.266666681,1.192967892,1.000000000,2.980074406,0
1,1,2,0.285473615,1.254242182,1.128415704,3.676460743,1
1,1,3,0.304280549,1.315184474,1.128415704,3.656534910,1
1,1,4,0.323087484,1.375794649,1.128415704,3.636609316,1
1,1,5,0.335533381,1.342038989,0.746754229,-2.025342941,1
1,1,6,0.347979277,1.307951212,0.746754229,-2.045268536,1
1,1,7,0.360425174,1.273531199,0.746754229,-2.065194368,1
1,1,8,0.372871101,1.238779306,0.746754229,-2.085119963,1
1,1,9,0.385316998,1.203695178,0.746754229,-2.105045795,1
1,1,10,0.397762895,1.168278933,0.746754229,-2.124971390,1
1,1,11,0.410208791,1.132530689,0.746754229,-2.144896984,1
1,1,12,0.396094024,1.115782857,-1.470331073,-0.542233527,1
1,1,13,0.359948307,1.109821558,-2.168743372,-0.357674927,2
1,1,14,0.323802561,1.103528261,-2.168743372,-0.377600580,2
1,1,15,0.295246035,1.097661257,1.202933550,0.012997922,2
1,1,16,0.327407628,1.096919775,1.929695129,-0.044492874,3
1,1,17,0.359569222,1.095846057,1.929695129,-0.064418510,3
1,1,18,0.391730815,1.094440341,1.929695129,-0.084344156,3
1,1,19,0.399538010,1.089807272,-1.001790285,-0.448860556,3
1,1,20,0.378148496,1.086777091,0.051178098,1.123283267,4
1,1,21,0.386373252,1.114797950,0.493484974,1.681248903,5
1,1,22,0.394598007,1.142486691,0.493484974,1.661323190,5
1,1,23,0.402822793,1.169843316,0.493484974,1.641397476,5
1,1,24,0.411047548,1.196867824,0.493484974,1.621471763,5
1,1,25,0.419272333,1.223560214,0.493484974,1.601546049,5
1,1,26,0.427497089,1.249920607,0.493484974,1.581620455,5
1,1,27,0.435721874,1.275948763,0.493484974,1.561694860,5
1,1,28,0.443946660,1.301645041,0.493484974,1.541769266,5
1,1,29,0.452171415,1.327008963,0.493484974,1.521843672,5
1,1,30,0.460396200,1.352041006,0.493484974,1.501918077,5
1,1,31,0.468620956,1.376740813,0.493484974,1.481992483,5
1,1,32,0.475452363,1.360718727,0.409884125,-0.961327553,5
1,1,33,0.482283771,1.344364524,0.409884125,-0.981253147,5
1,1,34,0.489115179,1.327678204,0.409884125,-1.001178741,5
1,1,35,0.495946586,1.310659766,0.409884125,-1.021104336,5
1,1,36,0.502777994,1.293309331,0.409884125,-1.041029930,5
1,1,37,0.509609401,1.275626779,0.409884125,-1.060955524,5
1,1,38,0.516440809,1.257611990,0.409884125,-1.080881119,5
1,1,39,0.523272216,1.239265203,0.409884125,-1.100806713,5
1,1,40,0.530103624,1.220586419,0.409884125,-1.120732307,5
1,1,41,0.536935031,1.201575518,0.409884125,-1.140657902,5
1,1,42,0.543766439,1.182232380,0.409884125,-1.160583496,5
1,1,43,0.550597847,1.162557244,0.409884125,-1.180509090,5
1,1,44,0.557429254,1.142549992,0.409884125,-1.200434685,5
1,1,45,0.564260662,1.122210741,0.409884125,-1.220360279,5
2,-1,1,0.433333337,1.192967892,-1.000000000,2.980074406,0
2,-1,2,0.414526403,1.254242182,-1.128415585,3.676460743,1
2,-1,3,0.395719469,1.315184474,-1.128415585,3.656534910,1
2,-1,4,0.376912534,1.375794649,-1.128415585,3.636609316,1
2,-1,5,0.364466637,1.342038989,-0.746754169,-2.025342941,1
2,-1,6,0.352020741,1.307951212,-0.746754169,-2.045268536,1
2,-1,7,0.339574844,1.273531199,-0.746754169,-2.065194368,1
2,-1,8,0.327128947,1.238779306,-0.746754169,-2.085119963,1
2,-1,9,0.314683020,1.203695178,-0.746754169,-2.105045795,1
2,-1,10,0.302237123,1.168278933,-0.746754169,-2.124971390,1
2,-1,11,0.289791226,1.132530689,-0.746754169,-2.144896984,1
2,-1,12,0.303906024,1.115782738,1.470330954,-0.542239368,1
2,-1,13,0.340051740,1.109821439,2.168743610,-0.357682019,2
2,-1,14,0.376197487,1.103527904,2.168743610,-0.377607644,2
2,-1,15,0.404753983,1.097660780,-1.202931643,0.012957742,2
2,-1,16,0.372592419,1.096918344,-1.929692626,-0.044542223,3
2,-1,17,0.340430886,1.095843911,-1.929692626,-0.064467862,3
2,-1,18,0.308269322,1.094437361,-1.929692626,-0.084393509,3
2,-1,19,0.300460488,1.089802027,1.001706600,-0.449073493,3
2,-1,20,0.321840376,1.086773038,-0.051898628,1.123178720,4
2,-1,21,0.313601285,1.114790201,-0.494346708,1.681035995,5
2,-1,22,0.305362165,1.142475367,-0.494346708,1.661110282,5
2,-1,23,0.297123075,1.169828534,-0.494346708,1.641184568,5
2,-1,24,0.288883984,1.196849585,-0.494346708,1.621258974,5
2,-1,25,0.280644864,1.223538399,-0.494346708,1.601333261,5
2,-1,26,0.272405773,1.249895215,-0.494346708,1.581407666,5
2,-1,27,0.264166653,1.275919914,-0.494346708,1.561482072,5
2,-1,28,0.255927563,1.301612616,-0.494346708,1.541556478,5
2,-1,29,0.247688457,1.326973081,-0.494346708,1.521630883,5
2,-1,30,0.239449352,1.352001429,-0.494346708,1.501705289,5
2,-1,31,0.234203935,1.363081455,0.043365445,-0.972047806,5
2,-1,32,0.234926701,1.346548557,0.043365445,-0.991973400,5
2,-1,33,0.235649467,1.329683542,0.043365445,-1.011898994,5
2,-1,34,0.236372232,1.312486529,0.043365445,-1.031824589,5
2,-1,35,0.237094998,1.294957399,0.043365445,-1.051750183,5
2,-1,36,0.237817764,1.277096033,0.043365445,-1.071675777,5
2,-1,37,0.238540530,1.258902788,0.043365445,-1.091601372,5
2,-1,38,0.239263296,1.240377307,0.043365445,-1.111526966,5
2,-1,39,0.239986062,1.221519709,0.043365445,-1.131452560,5
2,-1,40,0.240708828,1.202330112,0.043365445,-1.151378155,5
2,-1,41,0.241431594,1.182808399,0.043365445,-1.171303749,5
2,-1,42,0.242154360,1.162954569,0.043365445,-1.191229343,5
2,-1,43,0.242877126,1.142768621,0.043365445,-1.211154938,5
2,-1,44,0.240908027,1.153998137,-0.118145719,0.673773110,5
2,-1,45,0.236925080,1.176856160,-0.238977104,1.371477723,6
2,0,1,0.449999988,1.192967892,0.000000000,2.980074406,0
2,0,2,0.449999988,1.254432559,0.000000000,3.687880278,1
2,0,3,0.449999988,1.315565228,0.000000000,3.667954683,1
2,0,4,0.449999988,1.376365662,0.000000000,3.648028851,1
2,0,5,0.449999988,1.342503309,0.000000000,-2.031737804,1
2,0,6,0.449999988,1.308308959,0.000000000,-2.051663637,1
2,0,7,0.449999988,1.273782492,0.000000000,-2.071589231,1
2,0,8,0.449999988,1.238923907,0.000000000,-2.091515064,1
2,0,9,0.449999988,1.203733206,0.000000000,-2.111440659,1
2,0,10,0.449999988,1.168210506,0.000000000,-2.131366253,1
2,0,11,0.449999988,1.148385286,0.000000000,1.204723597,1
2,0,12,0.449999988,1.180260777,0.000000000,1.912529707,2
2,0,13,0.449999988,1.211804152,0.000000000,1.892604113,2
2,0,14,0.449999988,1.243015528,0.000000000,1.872678399,2
2,0,15,0.449999988,1.273894668,0.000000000,1.852752686,2
2,0,16,0.449999988,1.304441810,0.000000000,1.832826972,2
2,0,17,0.449999988,1.334656835,0.000000000,1.812901258,2
2,0,18,0.449999988,1.364539742,0.000000000,1.792975664,2
2,0,19,0.449999988,1.366433024,-0.000000000,-0.992908001,2
2,0,20,0.449999988,1.349552393,-0.000000000,-1.012833595,2
2,0,21,0.449999988,1.332339764,-0.000000000,-1.032759190,2
2,0,22,0.449999988,1.314795017,-0.000000000,-1.052684784,2
2,0,23,0.449999988,1.296918154,-0.000000000,-1.072610378,2
2,0,24,0.449999988,1.278709173,-0.000000000,-1.092535973,2
2,0,25,0.449999988,1.260168195,-0.000000000,-1.112461567,2
2,0,26,0.449999988,1.241295099,-0.000000000,-1.132387161,2
2,0,27,0.449999988,1.222089887,-0.000000000,-1.152312756,2
2,0,28,0.449999988,1.202552557,-0.000000000,-1.172238350,2
2,0,29,0.449999988,1.182683110,-0.000000000,-1.192163944,2
2,0,30,0.449999988,1.162481546,-0.000000000,-1.212089539,2
2,0,31,0.449999988,1.141947985,-0.000000000,-1.232015133,2
2,0,32,0.449999988,1.154668331,-0.000000000,0.701086819,2
2,0,33,0.449999988,1.178149939,-0.000000000,1.408892870,3
2,0,34,0.449999988,1.201299429,-0.000000000,1.388967276,3
2,0,35,0.449999988,1.224116683,-0.000000000,1.369041681,3
2,0,36,0.449999988,1.246601939,-0.000000000,1.349116087,3
2,0,37,0.449999988,1.268755198,-0.000000000,1.329190493,3
2,0,38,0.449999988,1.290576220,-0.000000000,1.309264898,3
2,0,39,0.449999988,1.312065244,-0.000000000,1.289339304,3
2,0,40,0.449999988,1.333222151,-0.000000000,1.269413710,3
2,0,41,0.449999988,1.354046941,-0.000000000,1.249488115,3
2,0,42,0.449999988,1.374539614,-0.000000000,1.229562521,3
2,0,43,0.449999988,1.366091728,-0.000000000,-0.677396715,3
2,0,44,0.449999988,1.354469657,-0.000000000,-0.697322369,3
2,0,45,0.449999988,1.342515588,-0.000000000,-0.717248023,3
2,1,1,0.466666639,1.192967892,1.000000000,2.980074406,0
2,1,2,0.485473573,1.254242182,1.128415585,3.676460743,1
2,1,3,0.504280508,1.315184474,1.128415585,3.656534910,1
2,1,4,0.520714164,1.365886092,-0.266131103,-2.138060093,1
2,1,5,0.516278625,1.329919696,-0.266131103,-2.157985926,1
2,1,6,0.511843085,1.293621182,-0.266131103,-2.177911520,1
2,1,7,0.507407546,1.256990552,-0.266131103,-2.197837353,1
2,1,8,0.502972007,1.220027804,-0.266131103,-2.217762947,1
2,1,9,0.498536497,1.182733059,-0.266131103,-2.237688541,1
2,1,10,0.494100958,1.145106077,-0.266131103,-2.257614374,1
2,1,11,0.493236840,1.109119773,0.976678848,-1.486567259,1
2,1,12,0.521382570,1.086514711,1.688743234,-1.356299639,2
2,1,13,0.549528301,1.063577652,1.688743234,-1.376225233,2
2,1,14,0.577674031,1.040308475,1.688743234,-1.396150827,2
2,1,15,0.605819821,1.016707182,1.688743234,-1.416076422,2
2,1,16,0.633965552,0.992773831,1.688743234,-1.436002016,2
2,1,17,0.662111282,0.968508363,1.688743234,-1.455927610,2
2,1,18,0.690257013,0.943910778,1.688743234,-1.475853205,2
2,1,19,0.684029996,0.927854061,-0.945696056,-0.795677602,2
2,1,20,0.668268383,0.914260685,-0.945696056,-0.815603256,2
2,1,21,0.652506769,0.900335193,-0.945696056,-0.835528851,2
2,1,22,0.636745155,0.886077702,-0.945696056,-0.855454445,2
2,1,23,0.620983541,0.871487975,-0.945696056,-0.875380039,2
2,1,24,0.605221927,0.856566250,-0.945696056,-0.895305634,2
2,1,25,0.589460313,0.841312408,-0.945696056,-0.915231228,2
2,1,26,0.573698699,0.825726390,-0.945696056,-0.935156822,2
2,1,27,0.557937086,0.809808373,-0.945696056,-0.955082417,2
2,1,28,0.542175472,0.793558240,-0.945696056,-0.975008011,2
2,1,29,0.526413858,0.776975989,-0.945696056,-0.994933605,2
2,1,30,0.510652244,0.760061622,-0.945696056,-1.014859200,2
2,1,31,0.494890630,0.742815197,-0.945696056,-1.034784794,2
2,1,32,0.479129016,0.725236714,-0.945696056,-1.054710388,2
2,1,33,0.463367403,0.707326055,-0.945696056,-1.074635983,2
2,1,34,0.447605789,0.689083397,-0.945696056,-1.094561577,2
2,1,35,0.431844175,0.670508564,-0.945696056,-1.114487171,2
2,1,36,0.416082561,0.651601672,-0.945696056,-1.134412766,2
2,1,37,0.400320947,0.632362723,-0.945696056,-1.154338360,2
