case,x,y,vx,vy,jsX,jsY,jsVX,jsVY,dividerTOI,ceilingTOI,rightWallTOI
divider-left,0.68,0.8,4,0,0.6682491666666666,0.7997527070867956,-2.24,-0.013096023076956887,0.25499999999999967,,0.8550000000000023
divider-left,0.68,0.8,6,0,0.6495825,0.7997623823741029,-3.3599999999999994,-0.013096023076956887,0.1699999999999998,,0.5700000000000015
divider-left,0.68,0.8,10,0,0.6122491666666665,0.7997701226039488,-5.600000000000001,-0.013096023076956887,0.10199999999999987,,0.3420000000000009
divider-left,0.685,0.8,1,0,0.6934491666666668,0.7996997775738802,-0.56,-0.013096023076956887,0.7200000000000164,,
divider-left,0.685,0.8,2,0,0.6841158333333333,0.7997407552612987,-1.12,-0.013096023076956887,0.35999999999999865,,
divider-left,0.685,0.8,4,0,0.6654491666666665,0.7997612441050078,-2.24,-0.013096023076956887,0.17999999999999933,,0.780000000000002
divider-left,0.685,0.8,6,0,0.6467824999999999,0.7997680737195777,-3.3599999999999994,-0.013096023076956887,0.11999999999999954,,0.5200000000000014
divider-left,0.685,0.8,10,0,0.6094491666666666,0.7997735374112336,-5.600000000000001,-0.013096023076956887,0.07199999999999973,,0.3120000000000008
divider-left,0.69,0.8,1,0,0.6906491666666668,0.7997339256467291,-0.56,-0.013096023076956887,0.4200000000000138,,
divider-left,0.69,0.8,2,0,0.6813158333333332,0.7997578292977232,-1.12,-0.013096023076956887,0.2100000000000013,,
divider-left,0.69,0.8,4,0,0.6626491666666666,0.7997697811232203,-2.24,-0.013096023076956887,0.10500000000000065,,0.7050000000000033
divider-left,0.69,0.8,6,0,0.6439824999999999,0.7997737650650526,-3.3599999999999994,-0.013096023076956887,0.07000000000000044,,0.47000000000000225
divider-left,0.69,0.8,10,0,0.6066491666666666,0.7997769522185185,-5.600000000000001,-0.013096023076956887,0.04200000000000026,,0.28200000000000136
divider-left,0.695,0.8,1,0,0.6878491666666666,0.7997680737195778,-0.56,-0.013096023076956887,0.12000000000000446,,
divider-left,0.695,0.8,2,0,0.6785158333333332,0.7997749033341477,-1.12,-0.013096023076956887,0.06000000000000063,,
divider-left,0.695,0.8,4,0,0.6598491666666666,0.7997783181414325,-2.24,-0.013096023076956887,0.030000000000000315,,0.630000000000003
divider-left,0.695,0.8,6,0,0.6411825,0.7997794564105275,-3.3599999999999994,-0.013096023076956887,0.02000000000000021,,0.420000000000002
divider-left,0.695,0.8,10,0,0.6038491666666665,0.7997803670258034,-5.600000000000001,-0.013096023076956887,0.012000000000000127,,0.2520000000000012
divider-right,0.735,0.8,-1,0,0.7239733333333336,0.7996679060392213,-1,-0.01992563764674161,,,
divider-right,0.735,0.8,-2,0,0.6996266666666667,0.7996679060392211,-2,-0.01992563764674161,,,
divider-right,0.735,0.8,-4,0,0.6683333333333336,0.79966790603922,-4,-0.01992563764674161,,,
divider-right,0.735,0.8,-6,0,0.6350000000000003,0.79966790603922,-6,-0.01992563764674161,,,
divider-right,0.735,0.8,-10,0,0.5683333333333339,0.79966790603922,-10,-0.01992563764674161,,,
divider-right,0.74,0.8,-1,0,0.7193958333333332,0.799667906039221,-1,-0.01992563764674161,,,0
divider-right,0.74,0.8,-2,0,0.7027291666666666,0.799667906039221,-2,-0.01992563764674161,,,0
divider-right,0.74,0.8,-4,0,0.6693958333333333,0.799667906039221,-4,-0.01992563764674161,,,0
divider-right,0.74,0.8,-6,0,0.6360625,0.799667906039221,-6,-0.01992563764674161,,,0
divider-right,0.74,0.8,-10,0,0.5693958333333333,0.799667906039221,-10,-0.01992563764674161,,,0
divider-right,0.745,0.8,-1,0,0.7193684895833333,0.799667906039221,-1,-0.01992563764674161,,,0
divider-right,0.745,0.8,-2,0,0.7027018229166667,0.799667906039221,-2,-0.01992563764674161,,,0
divider-right,0.745,0.8,-4,0,0.6693684895833334,0.799667906039221,-4,-0.01992563764674161,,,0
divider-right,0.745,0.8,-6,0,0.6360351562500001,0.799667906039221,-6,-0.01992563764674161,,,0
divider-right,0.745,0.8,-10,0,0.5693684895833334,0.799667906039221,-10,-0.01992563764674161,,,0
above-tip,0.685,1.14,1,0,0.7016666666666662,1.1396679060392212,1,-0.01992563764674161,,,
above-tip,0.685,1.14,2,0,0.7183333333333333,1.139667906039221,2,-0.01992563764674161,,,
above-tip,0.685,1.14,4,0,0.7278491666666667,1.1396929479593123,-2.24,-0.013096023076956887,,,0.780000000000002
above-tip,0.685,1.14,6,0,0.7091825,1.1397225429557807,-3.3599999999999994,-0.013096023076956887,,,0.5200000000000014
above-tip,0.685,1.14,10,0,0.6718491666666667,1.1397462189529552,-5.600000000000001,-0.013096023076956887,,,0.3120000000000008
above-tip,0.685,1.16,1,0,0.7016666666666662,1.1596679060392212,1,-0.01992563764674161,,,
above-tip,0.685,1.16,2,0,0.7183333333333333,1.159667906039221,2,-0.01992563764674161,,,
above-tip,0.685,1.16,4,0,0.7278491666666667,1.1596929479593123,-2.24,-0.013096023076956887,,,0.780000000000002
above-tip,0.685,1.16,6,0,0.7091825,1.1597225429557807,-3.3599999999999994,-0.013096023076956887,,,0.5200000000000014
above-tip,0.685,1.16,10,0,0.6718491666666667,1.1597462189529553,-5.600000000000001,-0.013096023076956887,,,0.3120000000000008
above-tip,0.685,1.2,1,0,0.7016666666666662,1.1996679060392212,1,-0.01992563764674161,,,
above-tip,0.685,1.2,2,0,0.7183333333333333,1.199667906039221,2,-0.01992563764674161,,,
above-tip,0.685,1.2,4,0,0.7278491666666667,1.1996929479593124,-2.24,-0.013096023076956887,,,0.780000000000002
above-tip,0.685,1.2,6,0,0.7091825,1.1997225429557807,-3.3599999999999994,-0.013096023076956887,,,0.5200000000000014
above-tip,0.685,1.2,10,0,0.6718491666666667,1.1997462189529553,-5.600000000000001,-0.013096023076956887,,,0.3120000000000008
ceiling,0.38,1.35,0,1,0.38,1.3663345727058875,0,0.9800743623532584,,,
ceiling,0.38,1.35,0,2,0.38,1.3727018059513698,0,-1.108841642917825,,0.8181510910906813,
ceiling,0.38,1.35,0,4,0.38,1.3540351392847025,0,-2.2288416429178253,,0.40702757097284475,
ceiling,0.38,1.35,0,6,0.38,1.3353684726180362,0,-3.348841642917824,,0.2708996413486849,
ceiling,0.38,1.35,0,10,0.38,1.298035139284703,0,-5.588841642917826,,0.16232343980430947,
ceiling,0.38,1.36,0,1,0.38,1.376214126531768,0,0.9800743623532584,,,
ceiling,0.38,1.36,0,2,0.38,1.3671018059513698,0,-1.108841642917825,,0.5151321684645032,
ceiling,0.38,1.36,0,4,0.38,1.3484351392847027,0,-2.2288416429178253,,0.2562766187606801,
ceiling,0.38,1.36,0,6,0.38,1.3297684726180363,0,-3.348841642917824,,0.17056644084917202,
ceiling,0.38,1.36,0,10,0.38,1.2924351392847029,0,-5.588841642917826,,0.10220364728419487,
ceiling,0.38,1.37,0,1,0.38,1.3708351392847031,0,-0.5488416429178249,,0.42853891105929703,
ceiling,0.38,1.37,0,2,0.38,1.3615018059513697,0,-1.108841642917825,,0.21211324583832505,
ceiling,0.38,1.37,0,4,0.38,1.3428351392847029,0,-2.2288416429178253,,0.10552566654851543,
ceiling,0.38,1.37,0,6,0.38,1.3241684726180363,0,-3.348841642917824,,0.07023324034965914,
ceiling,0.38,1.37,0,10,0.38,1.286835139284703,0,-5.588841642917826,,0.04208385476408028,
right-wall,0.7336,0.8,1,0,0.7286331666666667,0.7997585122591803,-0.56,-0.013096023076956887,,,0.2040000000000044
right-wall,0.7336,0.8,2,0,0.7192998333333332,0.7997701226039489,-1.12,-0.013096023076956887,,,0.10199999999999948
right-wall,0.7336,0.8,4,0,0.7006331666666666,0.7997759277763331,-2.24,-0.013096023076956887,,,0.05099999999999974
right-wall,0.7336,0.8,6,0,0.6819664999999999,0.7997778628337946,-3.3599999999999994,-0.013096023076956887,,,0.03399999999999983
right-wall,0.7336,0.8,10,0,0.6446331666666666,0.7997794108797637,-5.600000000000001,-0.013096023076956887,,,0.020399999999999897
right-wall,0.735,0.8,1,0,0.7278491666666667,0.7997680737195778,-0.56,-0.013096023076956887,,,0.12000000000000446
right-wall,0.735,0.8,2,0,0.7185158333333332,0.7997749033341477,-1.12,-0.013096023076956887,,,0.06000000000000063
right-wall,0.735,0.8,4,0,0.6998491666666666,0.7997783181414325,-2.24,-0.013096023076956887,,,0.030000000000000315
right-wall,0.735,0.8,6,0,0.6811825,0.7997794564105275,-3.3599999999999994,-0.013096023076956887,,,0.02000000000000021
right-wall,0.735,0.8,10,0,0.6438491666666666,0.7997803670258034,-5.600000000000001,-0.013096023076956887,,,0.012000000000000127
right-wall,0.736,0.8,1,0,0.7293066666666668,0.7997813799072351,-0.56,-0.01311720556590043,,,
right-wall,0.736,0.8,2,0,0.7233333333333335,0.7997813799072346,-1.12,-0.01311720556590043,,,
right-wall,0.736,0.8,4,0,0.6977066666666669,0.7997813799072351,-2.24,-0.01311720556590043,,,
right-wall,0.736,0.8,6,0,0.6799999999999988,0.7997813799072353,-3.36,-0.01311720556590043,,,
right-wall,0.736,0.8,10,0,0.6426666666666685,0.7997813799072353,-5.6,-0.01311720556590043,,,
